Jack Black,
Jack Black,"Kung Fu Panda is a 2008 American computer-animated martial arts comedy film produced by DreamWorks Animation and distributed by Paramount Pictures. The first installment in the Kung Fu Panda franchise, it was directed by John Stevenson (in his feature directorial debut) and co-directed by Mark Osborne, from a screenplay by the writing team of Jonathan Aibel and Glenn Berger, and a story by Ethan Reiff and Cyrus Voris. The film stars the voices of Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, David Cross, Randall Duk Kim, James Hong, Dan Fogler, Michael Clarke Duncan, and Jackie Chan. The film, set in a version of ancient China populated by anthropomorphic animals, centers on a bumbling panda named Po (Black), a kung-fu enthusiast. When a notorious snow-leopard named Tai Lung (McShane) is foretold to escape at Chorh-Gom Prison, Po is unwittingly named the ""Dragon Warrior""—a prophesied hero worthy of reading a scroll said to grant its reader limitless power.[4]"
Jack Black,"Publicized work on the film began in October 2004, with the project being officially announced in September 2005. The film was conceived by Michael Lachance, a DreamWorks Animation executive, originally as a parody of martial arts films. However, director Stevenson instead decided to make an action-comedy wuxia film that incorporates the hero's journey narrative archetype for the lead character, in which the computer animation, this time, was more complex than anything DreamWorks had done before. As with most DreamWorks Animation films, Hans Zimmer (this time collaborating with John Powell) scored Kung Fu Panda. Zimmer visited China to absorb the culture and got to know the China National Symphony Orchestra as part of his preparation."
Jack Black,"Kung Fu Panda was theatrically released in the United States on June 6, 2008. The film received positive reviews for its animation, mature themes, humor, faithfulness to the Chinese environment and tradition, score, action sequences, writing and is considered one of DreamWorks animation's best films. Kung Fu Panda opened in 4,114 theaters and grossed $20.3 million on its opening day and $60.2 million on its opening weekend, resulting in the number one position at the box office and becoming DreamWorks' biggest opening for a non-sequel film. By the end of its run, Kung Fu Panda had grossed $631.7 million on a budget of $130 million, making it the third highest-grossing film of 2008 and the highest-grossing animated film of the year worldwide, in addition to having the fourth-largest opening weekend for a DreamWorks film at the American and Canadian box office, behind the Shrek franchise.[5]"
Jack Black,"Kung Fu Panda was nominated for the Academy Award as well as a Golden Globe Award for Best Animated Film. However it lost both awards to WALL-E. The success of Kung Fu Panda spawned a multimedia franchise with two sequels, with Kung Fu Panda 2 (2011) and Kung Fu Panda 3 (2016); a fourth film is in development with a 2024 release date."
Jack Black,"In the Valley of Peace, a land in Ancient China inhabited by anthropomorphic animals, Po, a clumsy giant panda, helps his adoptive father, a goose named Mr. Ping, run their noodle restaurant. Po dreams of fighting alongside the Furious Five – Masters Tigress, Monkey, Crane, Viper, and Mantis – a group of kung fu masters who live in the Jade Palace, where they are trained by Master Shifu, a cranky red panda. The wise tortoise Master Oogway predicts that Shifu's former snow leopard protégé, Tai Lung, will escape from prison and attack the valley to obtain the Dragon Scroll, a legendary artifact he had previously been denied. Panicked, Shifu sends a goose named Zeng to increase the security at Chorh-Gom Prison in Mongolia, where Tai Lung is held."
Jack Black,"At the same time, Shifu holds a tournament for the Five so that Oogway can identify the Dragon Warrior, the prophesied hero worthy of reading the Scroll, which is said to grant limitless power to its reader. Po arrives too late to enter the arena; desperate to see his idols, he accidentally launches himself into the middle of the tournament, where Oogway proclaims him the Dragon Warrior. Believing Oogway's decision to be an accident, Shifu tries to dispose of Po with a harsh training regime, while the Five dismiss Po as an enthusiast with no potential in kung fu. Po considers quitting, but after receiving encouragement from Oogway, he endures his training and gradually befriends the Five with his resilience, culinary skill, and good humor."
Jack Black,"During this time, Po learns that Shifu's cold and distant behavior stems from his own shame over Tai Lung's betrayal, having raised him from infancy. At Chorh-Gom Prison, Zeng's warnings are ignored, and Tai Lung escapes. Shifu informs Oogway of the event, with the tortoise making Shifu promise to believe in Po as the Dragon Warrior. Oogway then passes on to the heavens in a stream of peach blossoms. Upon hearing that Oogway has left and that Tai Lung is fast approaching, Po, still unable to make any progress with kung fu, makes Shifu admit that he does not know how to train the panda into the Dragon Warrior. Tigress overhears this and leads the Five in an  secret attempt to stop Tai Lung themselves."
Jack Black,"Meanwhile, Shifu discovers that Po is capable of impressive physical feats when motivated by food, and successfully trains Po by incorporating these feats into an innovative kung fu style. The Furious Five fight Tai Lung; however, all but Crane are soon defeated by his nerve-strike technique. Crane carries the paralyzed Five back to the Jade Palace, where Shifu revives them and decides that Po is ready to receive the Dragon Scroll. When Po reads it, he discovers that the scroll is nothing but a blank reflective surface. Despaired, Po and the Five evacuate the inhabitants of the Valley, while Shifu prepares to face Tai Lung alone. In trying to console a distraught Po, Mr. Ping reveals that his ""secret ingredient soup"" has no secret ingredient, explaining that things can become special with belief."
Jack Black,"Realizing that this is the message of the Dragon Scroll, Po rushes back to help Shifu. At the Jade Palace, Tai Lung overpowers Shifu and demands to know the location of the Scroll. Po arrives with the Dragon Scroll and challenges Tai Lung to combat. Tai Lung eventually wins, but also despairs over the blank scroll, and takes his anger out on Po. Discovering that his body fat renders him immune to Tai Lung's nerve strikes, Po trounces his adversary with his new kung fu style, and eventually banishes him to the Spirit Realm using the Wuxi Finger Hold technique. Po is honored by the Valley and gains the respect of the Furious Five. In a post-credits' scene, Shifu and Po share a meal while a peach that Shifu had planted earlier in the movie grows into a tree in the background."
Jack Black,"Kyle Gass and JR Reed voice KG Shaw and JR Shaw, respectively, two pigs who come across Po before the Dragon Warrior Tournament.[7] Other actors with minor voice roles include Wayne Knight, Laura Kightlinger, and Kent Osborne.[7] The film's directors, John Stevenson and Mark Osborne, also have small voice roles.[7]"
Jack Black,"... we love martial arts movies. I wasn't interested in making fun of them, because I really think martial arts movies can be great films, they can be as good as any genre movie when they're done properly ..."
Jack Black,Let's try to make it a real martial arts movie albeit one with a comic character and let's take our action seriously. Let's not give anything up to the big summer movies. Let's really make sure that our kung fu is as cool as any kung fu ever done so that we can take our place in that canon and make sure it's a beautiful movie because great martial arts movies are really beautiful-looking movies and then let's see if we can imbue it with real heart and emotion.
Jack Black,—co-director John Stevenson on the comedic approach to the martial arts film.[8]
Jack Black,"DreamWorks had previously produced the PlayStation video game with a similar premise, T'ai Fu: Wrath of the Tiger under its defunct video game division DreamWorks Interactive (now known as Danger Close Games).[9] Publicized work on the film began in October 2004.[10] In September 2005, DreamWorks Animation announced the film alongside Jack Black, who was selected to be the main voice star.[11]"
Jack Black,"In November 2005, DreamWorks Animation announced that Dustin Hoffman, Jackie Chan, Lucy Liu and Ian McShane would join Jack Black in the cast.[12] This is also the second DreamWorks Animation film in which Black and Angelina Jolie have co-starred together, the first being 2004's Shark Tale.[13]"
Jack Black,"The idea for the film was conceived by Michael Lachance, a DreamWorks Animation executive.[14] Initially, the idea was to make it a spoof, but co-director John Stevenson was not particularly keen on it and instead chose the direction of a character-based wuxia comedy.[8]"
Jack Black,"Reportedly inspired by Stephen Chow's 2004 martial arts action comedy film, Kung Fu Hustle,[15] the co-directors wanted to make sure the film also had an authentic Chinese and kung-fu feel to it. Production designer Raymond Zibach and art director Tang Heng spent years researching Chinese painting, sculpture, architecture and kung-fu films to help create the look of the film.[16] Zibach said some of the biggest influences for him are the more artful martial arts films such as Hero, House of Flying Daggers and Crouching Tiger, Hidden Dragon.[16] Stevenson's aim for the film, which took four years to make, was to make ""the best looking film DreamWorks has ever made""."
